Resume Name,Match Score,Matched Keywords
sample.pdf,68.36,"['skill', 'field', 'engineering', 'vadodara', 'project', 'platform', 'scientist', 'work', 'efficiency', 'python', 'working', 'team', 'tool', 'engine', 'ml', 'c', 'develop', 'data', 'science', 'system']"
sample2.pdf,69.84,"['skill', 'eg', 'churn', 'xgboost', 'engineering', 'tuning', 'visualization', 'project', 'regression', 'scientist', 'analysis', 'using', 'model', 'hypothesis', 'company', 'work', 'feature', 'python', 'india', 'framework', 'engine', 'tensorflow', 'strong', 'customer', 'ml', 'statistical', 'c', 'develop', 'data', 'science', 'sql', 'statistic']"
sample3.pdf,71.71,"['skill', 'eg', 'xgboost', 'engineering', 'testing', 'project', 'regression', 'scientist', 'design', 'using', 'model', 'experience', 'hypothesis', 'work', 'ab', 'feature', 'python', 'india', 'framework', 'engine', 'customer', 'ml', 'c', 'business', 'develop', 'clean', 'pipeline', 'data', 'science', 'junior', 'statistic']"
